chunk_id,source_id,source_file,source_type,source_locator,source_page,source_section,extracted_supporting_text,claim_summary,verification_status
ckd_g3a_011,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,80,Chapter 3,Iodinated contrast media poses a nephrotoxic risk in CKD stage G3a. Coordinate with a nephrologist and ensure adequate hydration.,Iodinated contrast media use requires prior clinical preparation in CKD Stage G3a.,verified
ckd_g3b_008,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,62,Chapter 3,Protein restriction (0.6-0.8 g/kg/d) and substitution with plant-based protein is suggested in CKD stage G3b to prevent metabolic acidosis.,Plant-based protein substitution is recommended within the CKD Stage G3b target of 0.6-0.8 g/kg/day.,verified
ckd_g3b_009,nkf_potassium_ckd_diet,data/rag/v2_1/raw_sources/nkf_potassium_ckd_diet.txt,html,nkf_potassium_ckd_diet.txt,,Potassium in CKD,"In CKD stage G3b, adjust dietary potassium when serum levels exceed 5.0 mEq/L to prevent cardiac arrhythmia risks.",Potassium dietary restriction is indicated in CKD Stage G3b when serum levels exceed 5.0 mEq/L.,verified
ckd_g3b_010,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,68,Chapter 3,Monitor serum calcium and phosphorus in CKD stage G3b to evaluate renal bone disease risk and calcium-phosphate product elevations.,Calcium and phosphorus laboratory monitoring is required in CKD Stage G3b to prevent bone disease.,verified
ckd_g3b_011,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,76,Chapter 3,Renally cleared medications require dosage adjustments in CKD stage G3b (e.g. metformin dosage limits) to prevent drug accumulation toxicity.,Renally cleared medications require clinical dosage review in CKD Stage G3b.,verified
ckd_g4_009,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,64,Chapter 3,"In patients with CKD stage G4 and metabolic acidosis, oral sodium bicarbonate therapy is suggested to slow decline and manage bone loss.",Metabolic acidosis management via bicarbonate is indicated in CKD Stage G4.,verified
ckd_g4_010,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,74,Chapter 3,"Immunize patients in CKD stage G4 against hepatitis B early, as antibody response is better prior to starting hemodialysis.",Hepatitis B immunization is recommended in CKD Stage G4 prior to dialysis initiation.,verified
ckd_g4_011,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,78,Chapter 3,Preserve peripheral veins in the non-dominant arm of patients in CKD stage G4 to protect future arteriovenous fistula (AVF) surgical sites.,Peripheral vein preservation is required in CKD Stage G4 for future dialysis access.,verified
ckd_g4_012,nkf_potassium_ckd_diet,data/rag/v2_1/raw_sources/nkf_potassium_ckd_diet.txt,html,nkf_potassium_ckd_diet.txt,,Potassium in CKD,"Hyperkalemia is critical in CKD stage G4. Avoid salt substitutes containing potassium chloride, and monitor dietary potassium strictly.",Salt substitutes containing potassium chloride are contraindicated in CKD Stage G4 due to hyperkalemia risk.,verified
ckd_g4_013,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,68,Chapter 3,CKD-MBD is highly prevalent at stage G4. Calcitriol or phosphate binder dosing must be carefully controlled; avoid high-dose calcium without clinical review.,High-dose calcium supplements are contraindicated in CKD Stage G4 without clinician monitoring.,verified
ckd_g5_nondialysis_009,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,64,Chapter 3,"In CKD stage G5 non-dialysis, treat metabolic acidosis to maintain serum bicarbonate above 22 mEq/L to delay ESRD decline.",Target serum bicarbonate level in CKD G5 non-dialysis is above 22 mEq/L.,verified
ckd_g5_nondialysis_010,medlineplus_ckd_diet,data/rag/v2_1/raw_sources/medlineplus_ckd_diet.txt,html,medlineplus_ckd_diet.txt,,Phosphorus in CKD,Phosphate binders must be taken with meals in CKD stage G5 to bind dietary phosphorus and prevent hyperphosphatemia complications.,Phosphate binders must be taken concurrently with meals in CKD Stage G5 non-dialysis.,verified
ckd_g5_nondialysis_011,nkf_nutrition_ckd_stages_1_5,data/rag/v2_1/raw_sources/nkf_nutrition_ckd_stages_1_5.txt,html,nkf_nutrition_ckd_stages_1_5.txt,,Stages 1-5 overview,"Plant-based phosphorus is less absorbed (30-40% absorption rate) in CKD stage G5 non-dialysis due to phytate binding, making it safer than animal phosphorus.",Plant-based phosphorus has a low absorption rate (30-40%) in CKD Stage G5 non-dialysis.,verified
ckd_g5_nondialysis_012,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,78,Chapter 3,Uremic symptoms like anorexia and nausea in CKD stage G5 non-dialysis indicate close need for dialysis transition planning.,Uremic symptoms in CKD G5 non-dialysis indicate the need for dialysis transition planning.,verified
ckd_g5_nondialysis_013,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,76,Chapter 3,Stop metformin in CKD stage G5 (eGFR < 15) to prevent lactic acidosis. Dosing of other oral antidiabetics must be clinically reviewed.,Metformin is contraindicated in CKD Stage G5 non-dialysis due to lactic acidosis risk.,verified
ckd_dialysis_008,nkf_nutrition_ckd_stages_1_5,data/rag/v2_1/raw_sources/nkf_nutrition_ckd_stages_1_5.txt,html,nkf_nutrition_ckd_stages_1_5.txt,,Dialysis fluid rules,Hemodialysis fluid limits target interdialytic weight gain below 3% to 5% of dry weight. Limit fluid to urine output plus 500-700 mL.,Fluid limits in hemodialysis target interdialytic weight gain below 3-5% of dry body weight.,verified
ckd_dialysis_009,nkf_potassium_ckd_diet,data/rag/v2_1/raw_sources/nkf_potassium_ckd_diet.txt,html,nkf_potassium_ckd_diet.txt,,Potassium in dialysis,Peritoneal dialysis allows more liberal fluid and potassium intake than hemodialysis because fluid removal is continuous.,Peritoneal dialysis patients generally have less restrictive fluid and potassium limits than hemodialysis patients.,verified
ckd_dialysis_010,nkf_potassium_ckd_diet,data/rag/v2_1/raw_sources/nkf_potassium_ckd_diet.txt,html,nkf_potassium_ckd_diet.txt,,Potassium in dialysis,Adjust dietary potassium in hemodialysis based on monthly serum potassium to avoid hyperkalemia and hypokalemia.,Hemodialysis dietary potassium adjustment must be guided by monthly serum potassium results.,verified
ckd_dialysis_011,nkf_nutrition_ckd_stages_1_5,data/rag/v2_1/raw_sources/nkf_nutrition_ckd_stages_1_5.txt,html,nkf_nutrition_ckd_stages_1_5.txt,,Dialysis overview,Peritoneal dialysis removes significant proteins (5-15g/day). A high protein diet of 1.2 g/kg/day is required.,Peritoneal dialysis patients require a high protein intake (1.2 g/kg/day) to compensate for dialysis losses.,verified
ckd_dialysis_012,nkf_nutrition_ckd_stages_1_5,data/rag/v2_1/raw_sources/nkf_nutrition_ckd_stages_1_5.txt,html,nkf_nutrition_ckd_stages_1_5.txt,,Dialysis access care,Protect the AVF access site in hemodialysis patients: avoid BP checks or infusions on the access arm to prevent stenosis.,Hemodialysis patients must protect their vascular access (AVF) by avoiding blood pressure measurement on the access arm.,verified
ckd_dialysis_013,nkf_nutrition_ckd_stages_1_5,data/rag/v2_1/raw_sources/nkf_nutrition_ckd_stages_1_5.txt,html,nkf_nutrition_ckd_stages_1_5.txt,,Dialysis overview,Water-soluble vitamins are lost during hemodialysis. Supplement with specialized renal vitamins containing B-complex and C.,Water-soluble vitamins are cleared during hemodialysis and require supplementation.,verified
ckd_unknown_005,medlineplus_ckd_diet,data/rag/v2_1/raw_sources/medlineplus_ckd_diet.txt,html,medlineplus_ckd_diet.txt,,Diet - Chronic Kidney Disease,Avoid specific fluid and protein targets when CKD stage is unknown. Maintain basic low-sodium diet and seek eGFR testing.,Dietary guidelines for unspecified CKD should focus on general sodium limits without setting fluid or protein targets.,verified
ckd_unknown_006,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,14,Chapter 1,Serum creatinine alone is not sufficient to evaluate renal function. Staging requires calculated eGFR and urine albumin levels.,CKD evaluation requires calculated eGFR and urine albumin-to-creatinine ratio (UACR).,verified
ckd_unknown_007,medlineplus_ckd_diet,data/rag/v2_1/raw_sources/medlineplus_ckd_diet.txt,html,medlineplus_ckd_diet.txt,,Diet and medication,"NSAID avoidance is crucial for all CKD stages, especially when stage is unspecified, to prevent precipitating acute-on-chronic kidney injury.",NSAID medications are contraindicated for patients with unspecified chronic kidney disease.,verified
gout_011,medlineplus_gout_encyclopedia,data/rag/v2_1/raw_sources/medlineplus_gout_encyclopedia.txt,html,medlineplus_gout_encyclopedia.txt,,Foods to avoid,Meat extracts and gravies contain highly concentrated purines and should be avoided by gout patients.,Meat broths and extracts are concentrated purine sources that gout patients should avoid.,verified
gout_012,medlineplus_gout_encyclopedia,data/rag/v2_1/raw_sources/medlineplus_gout_encyclopedia.txt,html,medlineplus_gout_encyclopedia.txt,,Foods to avoid,"Purine-rich vegetables (beans, lentils, spinach, asparagus) do not increase gout flare risk like animal purines do.",Purine-rich vegetables do not associate with increased risk of gout flares.,verified
gout_013,medlineplus_gout_encyclopedia,data/rag/v2_1/raw_sources/medlineplus_gout_encyclopedia.txt,html,medlineplus_gout_encyclopedia.txt,,Foods to avoid,Low-fat dairy products can lower uric acid levels and help prevent gout attacks by promoting renal clearance.,Low-fat dairy products promote uric acid excretion and help manage gout.,verified
gout_014,medlineplus_gout,data/rag/v2_1/raw_sources/medlineplus_gout.txt,html,medlineplus_gout.txt,,Dietary guidelines,Rapid weight loss or fasting triggers gout attacks because ketone bodies compete with uric acid excretion in the kidneys.,Rapid weight loss or fasting is contraindicated in gout due to ketone-induced hyperuricemia.,verified
gout_015,nkf_gout_ckd,data/rag/v2_1/raw_sources/nkf_gout_ckd.txt,html,nkf_gout_ckd.txt,,Hyperuricemia and CKD,"In CKD, decreased uric acid clearance raises gout risk; conversely, urate crystals in the kidneys can accelerate renal damage.",Gout and CKD have a bidirectional exacerbating relationship.,verified
gout_016,medlineplus_uric_acid_blood,data/rag/v2_1/raw_sources/medlineplus_uric_acid_blood.txt,html,medlineplus_uric_acid_blood.txt,,Normal Results,Target uric acid is less than 6.0 mg/dL (or 5.0 mg/dL for severe gout) to dissolve existing crystals and prevent flares.,Long-term uric acid target for gout control is under 6.0 mg/dL.,verified
gout_017,medlineplus_gout_encyclopedia,data/rag/v2_1/raw_sources/medlineplus_gout_encyclopedia.txt,html,medlineplus_gout_encyclopedia.txt,,Foods to avoid,"Spirits and strong alcohols increase lactic acid, which competes with uric acid excretion, causing rapid spikes in blood levels.",Distilled spirits impair uric acid clearance via lactic acid accumulation.,verified
gout_018,medlineplus_gout,data/rag/v2_1/raw_sources/medlineplus_gout.txt,html,medlineplus_gout.txt,,Dietary guidelines,Dietary modifications reduce uric acid by only 1-2 mg/dL. They support but do not replace uric-acid-lowering medications.,"Dietary changes reduce uric acid by a modest 1-2 mg/dL, necessitating medical therapy for chronic gout.",verified
obesity_009,medlineplus_obesity,data/rag/v2_1/raw_sources/medlineplus_obesity.txt,html,medlineplus_obesity.txt,,Eating disorders,Emotional eating in response to stress or anxiety is a major factor in calorie surplus. Identify and substitute with non-food stressors.,Emotional eating triggers calorie surplus and requires behavioral modification.,verified
obesity_010,nih_sleep_weight,data/rag/v2_1/raw_sources/nih_sleep_weight.txt,html,nih_sleep_weight.txt,,Hormonal controls,"Sleep deprivation alters leptin and ghrelin levels, increasing appetite and abdominal fat storage via elevated cortisol.",Sleep restriction promotes appetite and fat accumulation via leptin/ghrelin and cortisol disruption.,verified
obesity_011,cdc_healthy_eating_weight,data/rag/v2_1/raw_sources/cdc_healthy_eating_weight.txt,html,cdc_healthy_eating_weight.txt,,Portion control,"Eat low energy density foods (vegetables, water-rich foods) first to promote satiety and naturally reduce intake of high-calorie foods.",Pre-loading with low energy density foods supports portion control and weight loss.,verified
obesity_012,medlineplus_obesity,data/rag/v2_1/raw_sources/medlineplus_obesity.txt,html,medlineplus_obesity.txt,,Dietary guidelines,High-protein intake increases satiety due to high thermic effect of food and helps preserve lean muscle mass during calorie restriction.,Dietary protein supports weight loss by increasing satiety and preserving muscle mass.,verified
obesity_013,cdc_steps_losing_weight,data/rag/v2_1/raw_sources/cdc_steps_losing_weight.txt,html,cdc_steps_losing_weight.txt,,Weight loss principles,A safe and sustainable rate of weight loss is 1 to 2 pounds (0.5 to 1 kg) per week to prevent yoyo weight gain and muscle loss.,"Safe, sustainable weight loss rate is 0.5 to 1.0 kg per week.",verified
obesity_014,cdc_steps_losing_weight,data/rag/v2_1/raw_sources/cdc_steps_losing_weight.txt,html,cdc_steps_losing_weight.txt,,Weight loss principles,Regular physical activity (150 minutes/week) and resistance exercises prevent weight regain by maintaining basal metabolic rate.,Regular physical activity (150 mins/week) is critical to prevent weight regain after loss.,verified
obesity_015,cdc_steps_losing_weight,data/rag/v2_1/raw_sources/cdc_steps_losing_weight.txt,html,cdc_steps_losing_weight.txt,,Weight loss principles,Abdominal fat increases insulin resistance. Losing 5-10% of body weight improves insulin action and glycemic control in type 2 diabetes.,Visceral fat drives insulin resistance; weight reduction of 5-10% restores glycemic control.,verified
obesity_016,cdc_healthy_eating_weight,data/rag/v2_1/raw_sources/cdc_healthy_eating_weight.txt,html,cdc_healthy_eating_weight.txt,,Weight management,Weight loss reduces cardiac workload and blood volume. Every kg of weight lost decreases systolic blood pressure by approximately 1 mmHg.,Weight loss directly reduces systolic blood pressure by approximately 1 mmHg per kg lost.,verified
safety_008,medlineplus_obesity,data/rag/v2_1/raw_sources/medlineplus_obesity.txt,html,medlineplus_obesity.txt,,Older adults and frailty,Sarcopenic obesity in older adults carries high risk of frailty. Restrictive diets must be combined with high protein and resistance exercise.,Restrictive diets in older adults must preserve muscle via high protein and resistance exercise to avoid frailty.,verified
safety_009,medlineplus_obesity,data/rag/v2_1/raw_sources/medlineplus_obesity.txt,html,medlineplus_obesity.txt,,Eating disorders,"Eating disorders (anorexia, bulimia, binge eating) require specialized psychiatric and clinical nutrition support, excluding automatic advice.",Eating disorders exclude individuals from automated self-guided weight loss recommendations.,verified
safety_010,kdigo_2024_ckd_guideline,data/rag/v2_1/raw_sources/kdigo_2024_ckd_guideline.txt,pdf,kdigo_2024_ckd_guideline.pdf,16,Chapter 1,Insufficient or contradictory clinical values require retesting and professional diagnostic review before setting nutritional limits.,Contradictory or incomplete clinical data requires clinical recheck and excludes automated advice.,verified
safety_011,medlineplus_obesity,data/rag/v2_1/raw_sources/medlineplus_obesity.txt,html,medlineplus_obesity.txt,,Special populations,Patients with complex comorbidities (e.g. advanced CKD G4 with obesity) have conflicting nutrient needs and must be excluded from automated RAG guidance.,Automated recommendations are disabled for patients with conflicting comorbidities; clinician referral is mandatory.,verified
